"PID";"Original tittel"
"14F104FE-D85E-4C16-8FE6-4A4764A95FDD";"Casa Editrice Vicolo del Pavone"
"1507577C-7E66-4251-98EF-3D6CE07D77C9";"The Japanese Society of Hypertension"
"150E9742-ED67-458C-9B91-35DE3D6A6881";"BPS Blackwell"
"15382C06-08CD-428D-B832-E5A66C63C301";"Royal Meteorological Society"
"15385BB1-44CA-43F4-BF14-969F6805D27D";"Left Coast Press Inc."
"154F943A-54D6-42CE-9DE1-D0382F5049CE";"McPherson and Company"
"15664644-6361-4E4B-AB6A-F5B59E245E2D";"Scandinavian Academic Press"
"156E236D-C623-4F9E-B151-E910EE73777A";"HYLE Publications"
"157438CA-6819-46E0-B39F-0A62799A6EBB";"Freidrich-Ebert-Stiftung"
"15773DDB-5715-4021-9D0E-B7D94A3D89EA";"Rockefeller University Press"
"157A2890-90BD-4CEE-B674-277A9DD51401";"Le bord de l'eau"
"157F263F-D92A-4717-9F7B-360F2368CB60";"Bricoleur Press"
"1590C3E6-8607-482C-90B1-1E08C5F3A6B0";"Wits University Press"
"15C269C0-85E4-4DEB-8DEC-290673282BE5";"Helsinki School of Economics Print"
"15CA2DDF-0DB6-46ED-A853-42BAA6EDA3E7";"Senter for omsorgsforskning"
"15D7A48E-E402-476F-AC1A-AD6F2B41DC8F";"Mandala Book Point"
"15DC277C-496C-46C6-A557-BB298144DB08";"Rowman & Littlefield International"
"15DC94D4-D742-453D-9FA7-B0D7DA66390F";"Ibidem-Verlag"
"15E37C44-43D3-4765-87F6-08D3B1A84408";"European Association for Machine Translation (EAMT)"
"15E5B95D-81AE-407D-B04B-A1019B499D1F";"The Archaeological society of Finland"
"15E92704-0A0E-4918-B402-8CD0F907D29E";"Demeter Press"
"15EF8D23-876C-46BF-8B9C-DEE11BEE3776";"Verlag Irena Regener"
"15F2BBD7-9D7F-4C85-B2E2-9FD63D1DF211";"Cultural Centre University of Malaya"
"160AA3FC-3E77-42D6-B835-32AA778B4FFC";"Rombach Druck- und Verlagshaus"
"162AF44E-8580-4E54-A506-BCECEBA5092E";"St. Olav forlag"
"16344FCA-DB68-46AC-8F85-C0745219CB11";"Bundesanstalt für Wasserbau (BAW)"
"1642B6A2-F37F-4450-9154-CC934235C49F";"Franz Steiner Verlag"
"164303B5-5B4B-43F1-8BFA-26D9C46BDCAF";"Association of Researchers in Construction Management (ARCOM)"
"1653C1BB-74BD-4304-9EA4-558A7568FFC3";"NIAS Press"
"165478F9-6C11-495C-962A-045890EDE54C";"Association for Symbolic Logic"
"166F5485-A8F1-45CA-BFF9-C0EB33030B1D";"Mucchi Editore"
"16819A11-816D-4F24-B5D8-9C7104C135B0";"English Department, University of Saskatchewan"
"1697D46B-3E51-4549-AE5A-DC84EA64EBDE";"Institute of Botany and Ecology"
"169CE541-E016-4D47-87B1-49D16B454469";"Fondo de Cultura Económica"
"169D441F-3802-4666-A626-06897FAD9A06";"EKOPRES, Zrenjanin"
"16B46481-A9B5-4ADC-A4D5-E746A7809287";"Michael Imhof Verlag"
"16B70317-385B-48D3-BE81-7E399C044F11";"International Organization for Science and Technology Education"
"16E718A3-DD5F-493D-9CB3-2559CC1541AF";"Music Theory Society of New York State"
"16EE453D-8355-40EF-8AA3-DD0349B0A653";"Eighteen Nineties Society"
